name	electrode_name	type	units
ch667	e667	n/a	V
ch668	e668	n/a	V
ch669	e669	n/a	V
ch670	e670	n/a	V
ch671	e671	n/a	V
ch672	e672	n/a	V
ch673	e673	n/a	V
ch674	e674	n/a	V
ch675	e675	n/a	V
ch676	e676	n/a	V
ch677	e677	n/a	V
ch678	e678	n/a	V
ch679	e679	n/a	V
ch680	e680	n/a	V
ch681	e681	n/a	V
ch682	e682	n/a	V
ch683	e683	n/a	V
ch684	e684	n/a	V
ch685	e685	n/a	V
ch686	e686	n/a	V
ch687	e687	n/a	V
ch688	e688	n/a	V
ch689	e689	n/a	V
ch690	e690	n/a	V
ch691	e691	n/a	V
ch692	e692	n/a	V
ch693	e693	n/a	V
ch694	e694	n/a	V
ch695	e695	n/a	V
ch696	e696	n/a	V
ch697	e697	n/a	V
ch698	e698	n/a	V
ch699	e699	n/a	V
ch700	e700	n/a	V
ch701	e701	n/a	V
ch702	e702	n/a	V
ch703	e703	n/a	V
ch704	e704	n/a	V
ch705	e705	n/a	V
ch706	e706	n/a	V
ch707	e707	n/a	V
ch708	e708	n/a	V
ch709	e709	n/a	V
ch710	e710	n/a	V
ch711	e711	n/a	V
ch712	e712	n/a	V
ch713	e713	n/a	V
ch714	e714	n/a	V
ch715	e715	n/a	V
ch716	e716	n/a	V
ch717	e717	n/a	V
ch718	e718	n/a	V
ch719	e719	n/a	V
ch720	e720	n/a	V
ch721	e721	n/a	V
ch722	e722	n/a	V
ch723	e723	n/a	V
ch724	e724	n/a	V
ch725	e725	n/a	V
ch726	e726	n/a	V
ch727	e727	n/a	V
ch728	e728	n/a	V
ch729	e729	n/a	V
ch730	e730	n/a	V
ch731	e731	n/a	V
ch732	e732	n/a	V
ch733	e733	n/a	V
ch734	e734	n/a	V
ch735	e735	n/a	V
ch736	e736	n/a	V
ch737	e737	n/a	V
ch738	e738	n/a	V
ch739	e739	n/a	V
ch740	e740	n/a	V
ch741	e741	n/a	V
ch742	e742	n/a	V
ch743	e743	n/a	V
ch744	e744	n/a	V
ch745	e745	n/a	V
ch746	e746	n/a	V
ch747	e747	n/a	V
ch748	e748	n/a	V
ch749	e749	n/a	V
ch750	e750	n/a	V
ch751	e751	n/a	V
ch752	e752	n/a	V
ch753	e753	n/a	V
ch754	e754	n/a	V
ch755	e755	n/a	V
ch756	e756	n/a	V
ch757	e757	n/a	V
ch758	e758	n/a	V
ch759	e759	n/a	V
ch760	e760	n/a	V
ch761	e761	n/a	V
ch762	e762	n/a	V
ch763	e763	n/a	V
ch764	e764	n/a	V
ch765	e765	n/a	V
ch766	e766	n/a	V
ch767	e767	n/a	V
ch768	e768	n/a	V
ch769	e769	n/a	V
ch770	e770	n/a	V
ch771	e771	n/a	V
ch772	e772	n/a	V
ch773	e773	n/a	V
